Problem,Prefix_Equation,Answer,Encoded
Eugene starts with 51 pencils and is given an extra 6 pencils by Joyce. How many pencils does he have now?,+ 51.0 6.0,57.0,"[1, 4, 728, 797, 2]"
"Joyce provides Eugene with 6 pencils, which increases his original collection of 51 pencils. How many pencils do they have altogether?",+ 51.0 6.0,57.0,"[1, 4, 728, 797, 2]"
James had 39 stickers . He got some more stickers for his birthday . Then he had 61 stickers . How many stickers did James get for his   birthday ?,- 61.0 39.0,22.0,"[1, 5, 823, 591, 2]"
"After receiving some stickers for his birthday, James ended up with a total of 61 stickers, whereas he previously had 39 stickers. How many stickers did James get for his birthday?",- 61.0 39.0,22.0,"[1, 5, 823, 591, 2]"
"When James celebrated his birthday, he received additional stickers that brought his total collection to 61 stickers. If he initially had 39 stickers, how many stickers did James obtain for his birthday?",- 61.0 39.0,22.0,"[1, 5, 823, 591, 2]"
"James had 39 stickers, and then he received some stickers on his birthday. So now he has 61 stickers. What is the number of stickers James got for his birthday?",- 61.0 39.0,22.0,"[1, 5, 823, 591, 2]"
"At first, James had 39 stickers, but he was given some stickers on his birthday, which increased his collection to 61 stickers. How many stickers did James receive on his birthday?",- 61.0 39.0,22.0,"[1, 5, 823, 591, 2]"
"For James' birthday, he got some more stickers, which added up to his current total of 61 stickers. If James originally had 39 stickers, how many stickers were gifted to him for his birthday?",- 61.0 39.0,22.0,"[1, 5, 823, 591, 2]"
"There is 0.16666666666666666 of a cup of oil in Scarlett 's measuring cup . If Scarlett adds 0.6666666666666666 of a cup more , how much oil will be in the measuring cup ?",+ 0.16666666666666666 0.6666666666666666,0.833333333,"[1, 4, 20, 57, 2]"
"Scarlett's measuring cup contains 0.16666666666666666 cups of oil. If she pours an additional 0.6666666666666666 cups of oil, what would be the volume of oil in the measuring cup?",+ 0.16666666666666666 0.6666666666666666,0.833333333,"[1, 4, 20, 57, 2]"
How much oil will Scarlett have in her measuring cup if she adds 0.6666666666666666 cups to the existing volume of 0.16666666666666666 cups?,+ 0.16666666666666666 0.6666666666666666,0.833333333,"[1, 4, 20, 57, 2]"
"Scarlett's measuring cup initially held 0.16666666666666666 cups of oil, but she poured in an additional 0.6666666666666666 cups. What is the new total volume of oil in the measuring cup?",+ 0.16666666666666666 0.6666666666666666,0.833333333,"[1, 4, 20, 57, 2]"
"If Scarlett adds 0.6666666666666666 cups to her measuring cup with 0.16666666666666666 cups of oil, what is the resulting volume of oil in the measuring cup?",+ 0.16666666666666666 0.6666666666666666,0.833333333,"[1, 4, 20, 57, 2]"
Scarlett wanted to fill her measuring cup with oil but only had 0.16666666666666666 cups left in the container. She added 0.6666666666666666 cups of oil to complete the measuring cup. What is the final volume of oil in the measuring cup?,+ 0.16666666666666666 0.6666666666666666,0.833333333,"[1, 4, 20, 57, 2]"
There are 40 boys and some girls on the playground . There are 117 children altogether . How many girls are on the playground ?,- 117.0 40.0,77.0,"[1, 5, 145, 620, 2]"
"The number of girls on the playground is unknown. If there are 117 children playing and 40 of them are boys, how many girls are there?",- 117.0 40.0,77.0,"[1, 5, 145, 620, 2]"
"A total of 117 children are on the playground, out of which 40 are boys. Determine the number of girls.",- 117.0 40.0,77.0,"[1, 5, 145, 620, 2]"
"If the number of boys on the playground is 40 and the total number of children present is 117, what is the number of girls?",- 117.0 40.0,77.0,"[1, 5, 145, 620, 2]"
"Suppose there are 117 children playing, including 40 boys. Find out the number of girls playing on the playground.",- 117.0 40.0,77.0,"[1, 5, 145, 620, 2]"
"The playground has 117 children playing, out of which 40 are boys. How many girls are there in the playground?",- 117.0 40.0,77.0,"[1, 5, 145, 620, 2]"
A small publishing company is planning to publish a new book . The production costs will include one - time fixed costs and variable costs . The one - time fixed costs will amount to 35630 dollars . The variable costs will be 11.50 dollars per book . The publisher will sell the finished product to bookstores at a price of 20.25 dollars per book . How many books must the publisher print and sell so that the production costs will equal the money obtained from sales ?,/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A newspaper company is planning to publish a new magazine. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per magazine. The company will sell the finished product to bookstores at a price of $20.25 per magazine. How many magazines must the company print and sell so that the production costs will equal the money obtained from sales?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A small publishing company is planning to publish a new pamphlet. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per pamphlet. The publisher will sell the finished product to bookstores at a price of $20.25 per pamphlet. How many pamphlets must the publisher print and sell so that the production costs will equal the money obtained from sales?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A small publishing company is planning to publish a new textbook. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per textbook. The publisher will sell the finished product to bookstores at a price of $20.25 per textbook. How many textbooks must the publisher print and sell so that the production costs will equal the money obtained from sales?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A small publishing company is planning to publish a new book. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per book. The publisher will sell the finished product to bookstores at a price of $20.25 per book. How many books must the publisher print and sell so that the production costs will equal the money obtained from sales?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A small publishing company is planning to publish a new cookbook. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per cookbook. The publisher will sell the finished product to bookstores at a price of $20.25 per cookbook. How many cookbooks must the publisher print and sell so that the production costs will equal the money obtained from sales?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"How many books must the publisher print and sell so that the production costs will equal the money obtained from sales, if a small publishing company is planning to publish a new book? The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per book. The publisher will sell the finished product to bookstores at a price of $20.25 per book.",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A small publishing company is planning to publish a new book. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per book. The publisher will sell the finished product to bookstores at a price of $20.25 per book. So that the production costs will equal the money obtained from sales, how many books must the publisher print and sell?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"The production costs will equal the money obtained from sales if a small publishing company prints and sells a certain number of books. The company is planning to publish a new book. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per book. The publisher will sell the finished product to bookstores at a price of $20.25 per book. How many books must the publisher print and sell?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A small publishing company is planning to publish a new book and sell it to bookstores at a price of $20.25 per book. The production costs will include one-time fixed costs of $35,630 and variable costs of $11.50 per book. To make sure the production costs equal the money obtained from sales, how many books must the publisher print and sell?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A small publishing company is planning to publish a new book and sell it to bookstores at a price of $20.25 per book. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs amount to $35,630 and the variable costs are $11.50 per book. The publisher must print and sell a certain number of books to make sure the production costs equal the money obtained from sales. How many books must the publisher print and sell?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A small publishing company is planning to publish a new book. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per book. The publisher will sell the finished product to bookstores at a price of $20.25 per book. The book has a total of 500 pages. How many books must the publisher print and sell so that the production costs will equal the money obtained from sales?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A small publishing company is planning to publish a new book. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per book. The publisher will sell the finished product to bookstores at a price of $20.25 per book. The book has a total of 100,000 characters. How many books must the publisher print and sell so that the production costs will equal the money obtained from sales?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A small publishing company is planning to publish a new book. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per book. The publisher will sell the finished product to bookstores at a price of $20.25 per book. The book has a total of 20 chapters. How many books must the publisher print and sell so that the production costs will equal the money obtained from sales?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A small publishing company is planning to publish a new book. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per book. The publisher will sell the finished product to bookstores at a price of $20.25 per book. The book has a total of 50 illustrations. How many books must the publisher print and sell so that the production costs will equal the money obtained from sales?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
"A small publishing company is planning to publish a new book. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to $35,630. The variable costs will be $11.50 per book. The publisher will sell the finished product to bookstores at a price of $20.25 per book. The book has a total of 10 tables. How many books must the publisher print and sell so that the production costs will equal the money obtained from sales?",/ 35630.0 - 20.25 11.5,4072.0,"[1, 6, 554, 5, 330, 124, 2]"
A small publishing company is planning to publish a new book . The production costs will include one - time fixed costs and variable costs . The one - time fixed costs will amount to 35630 dollars . The variable costs will be 11.50 dollars per book . The publisher will sell the finished product to bookstores at a price of some dollars per book . If the publisher must print 4072 new books and sell so that the production costs will equal the money obtained from sales then what was the selling price of each book in dollars?,+ / 35630.0 4072.0 11.5,20.25,"[1, 4, 6, 554, 627, 124, 2]"
Last week Tom had 74 dollars . He washed cars over the weekend and now has 86 dollars . How much money did he make washing cars ?,- 86 74,12.0,"[1, 5, 981, 907, 2]"
Tom's weekly budget increased from 74 dollars to 86 dollars after he washed cars over the weekend. How much did he earn from washing cars?,- 86 74,12.0,"[1, 5, 981, 907, 2]"
Washing cars over the weekend boosted Tom's finances from 74 dollars to 86 dollars. How much did he profit?,- 86 74,12.0,"[1, 5, 981, 907, 2]"
"After washing cars over the weekend, Tom's monetary gains increased from 74 dollars to 86 dollars. Calculate the amount of money he made washing cars.",- 86 74,12.0,"[1, 5, 981, 907, 2]"
"Tom earned 12 dollars after washing cars over the weekend, raising his funds from 74 dollars to 86 dollars. What is the amount he earned washing cars?",- 86 74,12.0,"[1, 5, 981, 907, 2]"
His earning from washing cars helped Tom's budget to grow from 74 dollars to 86 dollars over the weekend. What is the amount he earned washing cars?,- 86 74,12.0,"[1, 5, 981, 907, 2]"
There are 9 crayons in the drawer . Benny placed 3 crayons in the drawer . How many crayons are now there in total ?,+ 9 3,12.0,"[1, 4, 1000, 474, 2]"
"If there were 9 crayons in the drawer and Benny added 3 to it, what would be the total number of crayons in the drawer?",+ 9 3,12.0,"[1, 4, 1000, 474, 2]"
The total number of crayons in the drawer after Benny placed an additional 3 crayons to the existing 9 would be what?,+ 9 3,12.0,"[1, 4, 1000, 474, 2]"
"Suppose a drawer contained 9 crayons initially. If Benny then placed an additional 3 crayons in the same drawer, how many crayons would the drawer contain then?",+ 9 3,12.0,"[1, 4, 1000, 474, 2]"
"In a drawer, there are 9 crayons. Benny inserts 3 crayons into the drawer. How many crayons are there after Benny has inserted the 3 crayons?",+ 9 3,12.0,"[1, 4, 1000, 474, 2]"
"If a drawer contained 9 coloured wax sticks, Benny added 3 more to the drawer, how many crayons would there be together in the drawer?",+ 9 3,12.0,"[1, 4, 1000, 474, 2]"
"Dan joined his school 's band . He bought a clarinet for $ 130.30 , and a song book which was $ 11.24 . Dan found $ 12.32 in his pocket . How much did Dan spend at the music store ?",+ 130.30 11.24,141.54,"[1, 4, 191, 123, 2]"
"The total cost of Dan's musical equipment purchase was $141.54, including a clarinet that cost $130.30 and a songbook that was $11.24. If Dan had $12.32 in his pocket at the time, how much money did he spend at the music store?",+ 130.30 11.24,141.54,"[1, 4, 191, 123, 2]"
"When Dan enrolled in his school's band, he had to purchase a few musical items. He bought a clarinet for $130.30 and a songbook priced at $11.24. Adding to his own $12.32, how much did Dan have to spend in total?",+ 130.30 11.24,141.54,"[1, 4, 191, 123, 2]"
"For his band concert, Dan needed a clarinet, which cost him $130.30, and a songbook, which he purchased for $11.24. Having $12.32 cash on him, what was the total amount that Dan spent in the music store?",+ 130.30 11.24,141.54,"[1, 4, 191, 123, 2]"
"Among the items Dan was required to buy for his school's band were a clarinet worth $130.30 and a songbook costing $11.24. With $12.32 in his pocket, how much did Dan have to pay?",+ 130.30 11.24,141.54,"[1, 4, 191, 123, 2]"
"To prepare for his school's band program, Dan bought a clarinet and a songbook for $130.30 and $11.24, respectively. Dan could spend up to $12.32 and still buy both items. How much did Dan spend at the music store?",+ 130.30 11.24,141.54,"[1, 4, 191, 123, 2]"
"A renovation project required 0.16666666666666666 of a truck - load of sand , 0.3333333333333333 of a truck - load of dirt , and 0.16666666666666666 of a truck - load of cement . How many truck - loads of material were needed in all ?",+ + 0.16666666666666666 0.3333333333333333 0.16666666666666666,0.666666667,"[1, 4, 4, 20, 38, 20, 2]"
"For a renovation project, 0.16666666666666666 of a truck-load of sand, 0.3333333333333333 of a truck-load of dirt, and 0.16666666666666666 of a truck-load of cement were necessary. Determine the total number of truck-loads utilized in the project.",+ + 0.16666666666666666 0.3333333333333333 0.16666666666666666,0.666666667,"[1, 4, 4, 20, 38, 20, 2]"
"0.16666666666666666 of a truck-load of sand, 0.3333333333333333 of a truck-load of dirt, and 0.16666666666666666 of a truck-load of cement were required to complete a renovation project. How many truck-loads of materials were utilized during the project?",+ + 0.16666666666666666 0.3333333333333333 0.16666666666666666,0.666666667,"[1, 4, 4, 20, 38, 20, 2]"
"A truck-load of sand was used 0.16666666666666666 times, dirt was used 0.3333333333333333 times, and cement was used 0.16666666666666666 times during a renovation project. Determine the total number of truck-loads of materials required for the project.",+ + 0.16666666666666666 0.3333333333333333 0.16666666666666666,0.666666667,"[1, 4, 4, 20, 38, 20, 2]"
"A renovation project demanded 0.16666666666666666 of a truck-load of sand, 0.3333333333333333 of a truck-load of dirt, and 0.16666666666666666 of a truck-load of cement. How many truck-loads of materials were needed in total to complete the project?",+ + 0.16666666666666666 0.3333333333333333 0.16666666666666666,0.666666667,"[1, 4, 4, 20, 38, 20, 2]"
"When planning a renovation project, it was discovered that 0.16666666666666666 of a truck-load of sand, 0.3333333333333333 of a truck-load of dirt, and 0.16666666666666666 of a truck-load of cement were required. How many truck-loads of materials were needed to complete the renovation?",+ + 0.16666666666666666 0.3333333333333333 0.16666666666666666,0.666666667,"[1, 4, 4, 20, 38, 20, 2]"
"Ryan has 72 marbles and 17 blocks . If he shares the marbles among 9 friends , how many marbles does each friend get ?",/ 72.0 9.0,8.0,"[1, 6, 898, 1001, 2]"
"If there are 9 friends, how many marbles can each one receive when Ryan distributes his 72 marbles among them, in addition to the 17 blocks he has?",/ 72.0 9.0,8.0,"[1, 6, 898, 1001, 2]"
"Given that Ryan has 72 marbles and 17 blocks, what is the quotient obtained by dividing the marbles equally among 9 friends?",/ 72.0 9.0,8.0,"[1, 6, 898, 1001, 2]"
"For Ryan to distribute equally 72 marbles amongst 9 friends, how many marbles will each friend receive if he also has 17 blocks?",/ 72.0 9.0,8.0,"[1, 6, 898, 1001, 2]"
"If 9 friends are to receive the marbles and blocks that Ryan has, in how many ways can he distribute the 72 marbles, considering that each person gets the same number of marbles?",/ 72.0 9.0,8.0,"[1, 6, 898, 1001, 2]"
Ryan wants to give his friends some marbles and blocks. Exactly how many marbles should each of his 9 friends get if he has 72 marbles and 17 blocks in total and wants to distribute them equally?,/ 72.0 9.0,8.0,"[1, 6, 898, 1001, 2]"
"Beth has the following grades 81 % , 88 % , 90 % and 86 % on her first 4 math quizzes . What grade would she need on her next math quiz to have an average of a 87 % ?",- * 87.0 5.0 + + + 81.0 88.0 90.0 86.0,90.0,"[1, 5, 3, 988, 700, 4, 4, 4, 956, 995, 1015, 982, 2]"
"To obtain an average score of 87% on her first five math quizzes, Beth got 81%, 88%, 90%, and 86% on her first four. What is the lowest grade she should get on her fifth quiz?",- * 87.0 5.0 + + + 81.0 88.0 90.0 86.0,90.0,"[1, 5, 3, 988, 700, 4, 4, 4, 956, 995, 1015, 982, 2]"
"Beth is aiming for an average of 87% in her first five math exams. In her first four, she scored 81%, 88%, 90%, and 86%. What should her score be on the fifth exam to meet her goal?",- * 87.0 5.0 + + + 81.0 88.0 90.0 86.0,90.0,"[1, 5, 3, 988, 700, 4, 4, 4, 956, 995, 1015, 982, 2]"
"Four math exams are done, with scores of 81%, 88%, 90% and 86%. Beth's target average for five tests is 87%. What should she score on the final exam?",- * 87.0 5.0 + + + 81.0 88.0 90.0 86.0,90.0,"[1, 5, 3, 988, 700, 4, 4, 4, 956, 995, 1015, 982, 2]"
"What grade must Beth gain on her fifth math exam so that her average in the five exams is 87%, given that she has so far scored 81%, 88%, 90% and 86% in her first four quizzes?",- * 87.0 5.0 + + + 81.0 88.0 90.0 86.0,90.0,"[1, 5, 3, 988, 700, 4, 4, 4, 956, 995, 1015, 982, 2]"
"If the first four math quizzes scored by Beth are 81%, 88%, 90%, and 86%, what grade should she receive on her final quiz to achieve an average score of 87% over five quizzes ?",- * 87.0 5.0 + + + 81.0 88.0 90.0 86.0,90.0,"[1, 5, 3, 988, 700, 4, 4, 4, 956, 995, 1015, 982, 2]"
Fred had 7 dimes in his bank . His sister borrowed 3 of his dimes . How many dimes does Fred have now ?,- 7 3,4.0,"[1, 5, 875, 474, 2]"
"In his bank, Fred stowed away 7 dimes. If his sister took out 3 dimes, how many dimes are left with Fred now?",- 7 3,4.0,"[1, 5, 875, 474, 2]"
"Fred owned 7 dimes that he kept in his bank. However, his sister removed 3 dimes. How many dimes remain in Fred's bank now?",- 7 3,4.0,"[1, 5, 875, 474, 2]"
Seven dimes belonged to Fred in his bank. His sister asked to borrow 3 of his dimes. How many dimes does Fred have now?,- 7 3,4.0,"[1, 5, 875, 474, 2]"
"If Fred had 7 dimes deposited in his bank, but his sister borrowed 3 of his dimes, how many dimes are still in his bank account?",- 7 3,4.0,"[1, 5, 875, 474, 2]"
"In the bank account of Fred, there were 7 dimes. While his sister borrowed 3 dimes, how many dimes left with Fred in his account?",- 7 3,4.0,"[1, 5, 875, 474, 2]"
Sally had 760 quarters in her bank . She spent 418 of her quarters . How many quarters does she have now ?,- 760 418,342.0,"[1, 5, 918, 636, 2]"
"If Sally had 760 quarters and spent 418 of them, how many quarters does she have left in her bank?",- 760 418,342.0,"[1, 5, 918, 636, 2]"
"In her bank, Sally had a total of 760 quarters. After spending 418 quarters, how many quarters does she still have left?",- 760 418,342.0,"[1, 5, 918, 636, 2]"
"Sally originally had 760 quarters in her bank account. After spending 418 quarters, what is the resulting balance in her account?",- 760 418,342.0,"[1, 5, 918, 636, 2]"
"After Sally spent 418 quarters from her savings, how many quarters does she have left if she started with 760 quarters?",- 760 418,342.0,"[1, 5, 918, 636, 2]"
"Starting with 760 quarters in her bank, Sally spent 418 of them. How many quarters remain in her account now?",- 760 418,342.0,"[1, 5, 918, 636, 2]"
Mrs. Sheridan has 11 cats . How many more cats does Mrs. Sheridan need to have 43 cats ?,- 43.0 11.0,32.0,"[1, 5, 648, 120, 2]"
Mrs. Sheridan presently has 11 cats. How many extra cats does she need to reach a total of 43 cats?,- 43.0 11.0,32.0,"[1, 5, 648, 120, 2]"
"If Mrs. Sheridan wants to have 43 cats in total, and she already has 11 cats, how many more cats does she need to get?",- 43.0 11.0,32.0,"[1, 5, 648, 120, 2]"
"In order to have 43 cats, Mrs. Sheridan requires how many additional cats, given that she currently have 11 cats?",- 43.0 11.0,32.0,"[1, 5, 648, 120, 2]"
"If Mrs. Sheridan has a goal of owning 43 cats and is at present caring for 11 cats, how many additional cats does she require?",- 43.0 11.0,32.0,"[1, 5, 648, 120, 2]"
"How many more cats must Mrs. Sheridan obtain to reach a total of 43 cats, given she already has 11 cats?",- 43.0 11.0,32.0,"[1, 5, 648, 120, 2]"
Mrs. Hilt needs to share $ 3.75 equally among 3 total people . How much money will each person get ?,/ 3.75 3,1.25,"[1, 6, 490, 474, 2]"
"If 3 individuals have to split $3.75 equally, how much money will each person receive, according to Mrs. Hilt?",/ 3.75 3,1.25,"[1, 6, 490, 474, 2]"
Each of the 3 people will receive what amount of money if Mrs. Hilt distributes $3.75 equally among them?,/ 3.75 3,1.25,"[1, 6, 490, 474, 2]"
Splitting $3.75 equally among 3 people is what Mrs. Hilt needs to do. How much money will each person get?,/ 3.75 3,1.25,"[1, 6, 490, 474, 2]"
"If $3.75 must be divided equally among 3 people, what will be the individual share that Mrs. Hilt gives?",/ 3.75 3,1.25,"[1, 6, 490, 474, 2]"
The task for Mrs. Hilt is to divide $3.75 equally among 3 individuals. What will be the amount that each person will receive?,/ 3.75 3,1.25,"[1, 6, 490, 474, 2]"
Martha starts with 3 cards . She gets 76 more from Emily . How many cards does Martha end with ?,+ 3.0 76.0,79.0,"[1, 4, 475, 916, 2]"
"If Emily gave Martha 76 cards, and Martha started with 3, how many cards does Martha have now?",+ 3.0 76.0,79.0,"[1, 4, 475, 916, 2]"
"Emily gave Martha a gift of 76 cards; if Martha originally had 3 cards, what is the total number of cards she has now?",+ 3.0 76.0,79.0,"[1, 4, 475, 916, 2]"
"Starting with only 3 cards, how many cards does Martha have in total now that Emily gave her 76 more?",+ 3.0 76.0,79.0,"[1, 4, 475, 916, 2]"
"After receiving a donation of 76 cards from Emily, the number of cards that Martha had increased from 3 to what number?",+ 3.0 76.0,79.0,"[1, 4, 475, 916, 2]"
"If Martha owns 3 cards, and then Emily donates 76 more cards to her, how many cards does Martha have in the end?",+ 3.0 76.0,79.0,"[1, 4, 475, 916, 2]"
"John had 33 socks . If he threw away 19 old ones that did n't fit and bought 13 new ones , how many socks would he have ?",- + 33.0 13.0 19.0,27.0,"[1, 5, 4, 523, 185, 297, 2]"
"After tossing out 19 pairs of socks that no longer fit him, John purchased 13 new individual socks. How many socks are now in John's possession?",- + 33.0 13.0 19.0,27.0,"[1, 5, 4, 523, 185, 297, 2]"
John's sock collection consisted of 33 pieces before he got rid of 19 unsuitable ones and added 13 additional socks. How many socks does he have left now?,- + 33.0 13.0 19.0,27.0,"[1, 5, 4, 523, 185, 297, 2]"
"If John discarded 19 of his socks because they didn't fit, and then proceeded to buy 13 new socks, what is his new total number of socks in possession?",- + 33.0 13.0 19.0,27.0,"[1, 5, 4, 523, 185, 297, 2]"
"Having started with 33 socks, John disposed of 19 that were too small and included 13 new ones. How many does he have now?",- + 33.0 13.0 19.0,27.0,"[1, 5, 4, 523, 185, 297, 2]"
John had 33 pairs of socks until he discarded 19 flawed pairs and supplemented 13 new individual socks. What is the present number of John's sock collection?,- + 33.0 13.0 19.0,27.0,"[1, 5, 4, 523, 185, 297, 2]"
"Last year , egg producers in Douglas County produced 1416 eggs . This year , those same farms produced 4636 eggs . How many more eggs did the farms produce this year ?",- 4636.0 1416.0,3220.0,"[1, 5, 674, 222, 2]"
The number of eggs produced by Douglas County's egg producers increased from 1416 to 4636 this year. How many more eggs were produced?,- 4636.0 1416.0,3220.0,"[1, 5, 674, 222, 2]"
Douglas County's egg farms increased their egg production from 1416 to 4636 this year. How many additional eggs were produced?,- 4636.0 1416.0,3220.0,"[1, 5, 674, 222, 2]"
"If egg producers in Douglas County produced 1416 eggs in the past year and 4636 eggs this year, how many more eggs were produced this year?",- 4636.0 1416.0,3220.0,"[1, 5, 674, 222, 2]"
"In Douglas County, last year egg farmers produced 1416 eggs, but this year they increased their production to 4636. How many more eggs were produced?",- 4636.0 1416.0,3220.0,"[1, 5, 674, 222, 2]"
The egg output of Douglas County's farms increased from 1416 to 4636 eggs this year. What is the difference in the number of eggs produced?,- 4636.0 1416.0,3220.0,"[1, 5, 674, 222, 2]"
There are 22 walnut trees currently in the park . Park workers will plant more walnut trees today . When the workers are finished there will be 55 walnut trees in the park . How many walnut trees did the workers plant today ?,- 55 22,33.0,"[1, 5, 757, 367, 2]"
The number of walnut trees in the park will increase from 22 to 55 after workers finish planting trees today. How many walnut trees will be planted by the workers today?,- 55 22,33.0,"[1, 5, 757, 367, 2]"
"In the park, workers will add some more walnut trees to the existing 22 trees. How many walnut trees will they add so that the total number of trees in the park becomes 55?",- 55 22,33.0,"[1, 5, 757, 367, 2]"
"After planting some new walnut trees, the total number of walnut trees in the park will reach 55. If there were initially 22 walnut trees in the park, how many trees did the workers plant today?",- 55 22,33.0,"[1, 5, 757, 367, 2]"
"The park authorities will add a number of walnut trees today. After the completion of the task, the total number of walnut trees in the park will be 55. How many walnut trees were planted?",- 55 22,33.0,"[1, 5, 757, 367, 2]"
"With 22 walnut trees already in place, the workers will plant additional trees today in the park. What is the number of walnut trees that they will plant so that the total number of trees will become 55?",- 55 22,33.0,"[1, 5, 757, 367, 2]"
"Mark has 13 trees in his backyard . If he plants 12 more , how many trees will he have ?",+ 13.0 12.0,25.0,"[1, 4, 185, 150, 2]"
"If there are 13 trees in Mark's backyard and he plants 12 more, what is the total number of trees in his backyard?",+ 13.0 12.0,25.0,"[1, 4, 185, 150, 2]"
"In Mark's backyard, he has 13 trees. If he were to plant 12 more, how many trees would there be?",+ 13.0 12.0,25.0,"[1, 4, 185, 150, 2]"
How many trees will Mark have in his backyard if he has 13 trees currently and plants 12 more?,+ 13.0 12.0,25.0,"[1, 4, 185, 150, 2]"
"Mark is planting 12 additional trees in his backyard, bringing the total number of trees in the yard to what if there are currently 13 trees?",+ 13.0 12.0,25.0,"[1, 4, 185, 150, 2]"
"If there are 13 trees in Mark's backyard and he adds 12 more, how many trees in total will there be?",+ 13.0 12.0,25.0,"[1, 4, 185, 150, 2]"
"Roger had 25 books . If he sold 21 of them and used the money he earned to buy 30 new books , how many books would Roger have ?",- + 25.0 30.0 21.0,34.0,"[1, 5, 4, 412, 493, 348, 2]"
"After selling 21 books, Roger used the money to buy 30 new books. How many books does he have now in total?",- + 25.0 30.0 21.0,34.0,"[1, 5, 4, 412, 493, 348, 2]"
"If Roger has 25 books but sells 21 of them to buy 30 new books, how many books does he have left?",- + 25.0 30.0 21.0,34.0,"[1, 5, 4, 412, 493, 348, 2]"
Lorraine owned 25 books but sold 21 of them. She used the money to buy 30 new books. How many books does Lorraine have now in total?,- + 25.0 30.0 21.0,34.0,"[1, 5, 4, 412, 493, 348, 2]"
"After selling 21 books, how many books did Roger have left when he bought 30 new ones?",- + 25.0 30.0 21.0,34.0,"[1, 5, 4, 412, 493, 348, 2]"
"Roger had 25 books, but after selling 21 of them and replacing them with 30 new books, how many books does he now have?",- + 25.0 30.0 21.0,34.0,"[1, 5, 4, 412, 493, 348, 2]"
"The total number of students absent from B. Jones High School on a Monday after a significant snow fall was 218 . The total attendance that day was 1487 . How many students , in total , attend B. Jones High School ?",+ 1487.0 218.0,1705.0,"[1, 4, 243, 363, 2]"
"There were 1487 students present in B. Jones High School on a Monday with a significant snowfall. If 218 students were absent, what was the total number of students enrolled in the school?",+ 1487.0 218.0,1705.0,"[1, 4, 243, 363, 2]"
B. Jones High School had a total of 218 students absent on a Monday after a significant snowfall. What was the total number of students enrolled in the school if the attendance that day was 1487?,+ 1487.0 218.0,1705.0,"[1, 4, 243, 363, 2]"
"During a significant snowfall on a Monday, 218 students were absent from B. Jones High School, and the total attendance was 1487. What was the total number of students enrolled in the school?",+ 1487.0 218.0,1705.0,"[1, 4, 243, 363, 2]"
"Let the total number of students present in B. Jones High School on a Monday with a significant snowfall be x. If 218 students were absent, what was the value of x if the attendance that day was 1487?",+ 1487.0 218.0,1705.0,"[1, 4, 243, 363, 2]"
